#SampleID	BarcodeSequence	LinkerPrimerSequence	Location	Town	County	State	Country	Year	Month	Substrate	Type	Size range
0334U.PescaderoVent			Pescadero Vent Z	NA	Pescadero Basin Hydrothermal Vents	Gulf of California	Mexico	2015	April	Deep sea	Marine	
0335T.PescaderoVentZ			Pescadero Vent Z	NA	Pescadero Basin Hydrothermal Vents	Gulf of California	Mexico	2015	April	Deep sea	Marine	
0336U.PescaderoVent			Pescadero Vent Z	NA	Pescadero Basin Hydrothermal Vents	Gulf of California	Mexico	2015	April	Deep sea	Marine	
0338V.BirdShoal			Bird Shoal	Rachel Carson Reserve	Charteret	NC	USA	2011	November	Intertidal sand flats	Intertidal	
0339V.BirdShoal			Bird Shoal	Rachel Carson Reserve	Charteret	NC	USA	2012	January	Intertidal sand flats	Intertidal	
0343X.DukeMarineLab			Duke University Marine Lab Marsh	Beaufort	Charteret	NC	USA	2012	January	Intertidal wetland sediment	Intertidal	
0344S0.Run2.CapeLookout			Cape Lookout Bight	Cape Lookout National Seashore	Charteret	NC	USA	2011	July	Benthic sediment	Marine	
0344S0.Run1.CapeLookout			Cape Lookout Bight	Cape Lookout National Seashore	Charteret	NC	USA	2011	July	Benthic sediment	Marine	
0344S1.CapeLookout			Cape Lookout Bight	Cape Lookout National Seashore	Charteret	NC	USA	2011	July	Benthic sediment	Marine	
0345_S0			Cape Lookout Bight	Cape Lookout National Seashore	Charteret	NC	USA	2011	October	Benthic sediment	Marine	
69M.Arctic			Arctic Ocean	NA				2017	July	25m depth	Marine	0.2 um
69S.MarineSurface			Arctic Ocean	NA				2017	July	Marine surface	Marine	0.2 um
Fj.Tromso			Arctic Ocean	Tromso	Troms		Norway	2017	July	Marine surface	Marine	0.2um
I3.IceCore			Arctic Ocean	NA				2017	July	Ice core of lower 10m	Ice	0.2um
KLL1.GosSed			Gosling Lake	Putnam Township	Livingston	MI	USA	2013	June	Sediment	Sediment	
KLL2.GosFil			Gosling Lake	Putnam Township	Livingston	MI	USA	2013	June	3 um filters	Freshwater	3-20um
KLL3.Rozella			Rozella							culture	Culture	
KLL4.HerbFil			Herbarium Pond	Ann Arbor	Washtenaw	MI	USA	2013	June	3 um filters	Freshwater	3-20um
KLL5.ArbSoil			Nichols Arboretum	Ann Arbor	Washtenaw	MI	USA	2013	June	Soil	Soil	
KLL6.HuronSink			"Lake Huron sinkhole (core 0611-18, section 4)"				USA				Sinkhole	
KLL7.Barton			Barton Pond 006-11	Ann Arbor	Washtenaw	MI	USA	2012	July	3 um filters	Freshwater	3-20um
MA119.LakeErieWLE2			WLE2	Lake Erie			USA	2014	September	0.8 um filters	Freshwater	0.8-20um
MA120.HuronSB2			WLE12	Lake Erie			USA	2014	September	0.8 um filters	Freshwater	0.8-20um
MA121.LakeErieWLE4			WLE4	Lake Erie			USA	2014	September	0.8 um filters	Freshwater	0.8-20um
MA135.WoodlandLake			Woodland Lake		Livingston	MI	USA	2014	July	0.8 um filters	Freshwater	0.8-20um
MA138.FordLake			Ford Lake		Washtenaw	MI	USA	2014	July	0.8 um filters	Freshwater	0.8-20um
MA139.HuronSB2			Huron_SB2	Lake Huron			USA	2014	July	0.8 um filters	Freshwater	0.8-20um
MA140.Huron.SB14			Huron_SB14	Lake Huron			USA	2014	July	0.8 um filters	Freshwater	0.8-20um
MA58.LakeErieWLE2			WLE2	Lake Erie			USA	2014	July	0.8 um filters	Freshwater	0.8-20um
